municipio,prefixo,bacia,latitude,longitude,media
FRANCA,B4-001,BAGRES,2031,4724,64.68
BARRETOS,B5-002,PITANGUEIRAS,2034,4834,84.13
SAO JOSE DO RIO PRETO,B6-014,PRETO,2049,4925,68.84
VOTUPORANGA,B6-032,SAO JOSE DOS DOURADOS,2030,4957,54.03
JALES,B7-008,RIBEIRAO DO MARIMBONDO,2018,5033,140.00
ARACATUBA,B7-047,TIETE (MEDIO E INFERIOR),2055,5050,66.39
SAO JOAO DA BOA VISTA,C3-031,JAGUARI-MIRIM,2157,4648,94.26
SAO CARLOS,C4-019,TURVO,2147,4747,95.52
ARARAQUARA,C5-008,JACARE GUACU,2145,4814,69.48
JABOTICABAL,C5-025,CORREGO RICO,2115,4818,116.16
DRACENA,C8-043,NOVA PALMEIRA,2128,5132,0.00
SAO JOSE DOS CAMPOS,D2-021,JAGUARI,2255,4558,71.74
CAMPINAS,D3-002,ATIBAIA,2256,4654,86.42
PIRACICABA,D4-002,PIRACICABA,2244,4739,0.00
AMERICANA,D4-004,PIRACICABA,2242,4717,45.81
LIMEIRA,D4-064,PIRACICABA,2234,4722,53.61
BOTUCATU,D5-019,CAPIVARA,2249,4826,62.13
