date,price
Jan 1970,168.88
Feb 1970,90.55
Mar 1970,44.53
Apr 1970,13.10
May 1970,20.31
Jun 1970,21.58
Jul 1970,3.25
Aug 1970,32.25
Sep 1970,37.45
Oct 1970,24.31
Nov 1970,61.10
Dec 1970,54.50
Jan 1971,30.75
Feb 1971,46.55
Mar 1971,50.53
Apr 1971,26.61
May 1971,18.72
Jun 1971,47.94
Jul 1971,10.31
Aug 1971,0.47
Sep 1971,24.06
Oct 1971,53.63
Nov 1971,33.06
Dec 1971,67.91
Jan 1972,125.97
Feb 1972,133.87
Mar 1972,21.81
Apr 1972,26.77
May 1972,21.44
Jun 1972,3.74
Jul 1972,50.44
Aug 1972,20.59
Sep 1972,22.74
Oct 1972,81.44
Nov 1972,69.61
Dec 1972,49.97
Jan 1973,41.47
Feb 1973,69.83
Mar 1973,43.34
Apr 1973,39.77
May 1973,41.38
Jun 1973,9.74
Jul 1973,10.69
Aug 1973,2.53
Sep 1973,20.61
Oct 1973,30.13
Nov 1973,46.35
Dec 1973,136.09
Jan 1974,140.34
Feb 1974,50.17
Mar 1974,120.31
Apr 1974,43.71
May 1974,1.38
Jun 1974,38.23
Jul 1974,0.00
Aug 1974,4.72
Sep 1974,3.84
Oct 1974,47.81
Nov 1974,17.71
Dec 1974,96.72
Jan 1975,58.75
Feb 1975,90.03
Mar 1975,24.06
Apr 1975,16.90
May 1975,5.13
Jun 1975,0.42
Jul 1975,7.72
Aug 1975,0.00
Sep 1975,10.77
Oct 1975,45.88
Nov 1975,73.39
Dec 1975,71.50
Jan 1976,70.25
Feb 1976,96.70
Mar 1976,76.53
Apr 1976,23.61
May 1976,41.91
Jun 1976,31.61
Jul 1976,25.97
Aug 1976,32.03
Sep 1976,58.35
Oct 1976,29.56
Nov 1976,34.58
Dec 1976,91.78
Jan 1977,91.47
Feb 1977,22.93
Mar 1977,77.38
Apr 1977,42.16
May 1977,2.91
Jun 1977,11.90
Jul 1977,3.44
Aug 1977,27.31
Sep 1977,28.52
Oct 1977,23.00
Nov 1977,70.74
Dec 1977,100.97
Jan 1978,66.31
Feb 1978,42.41
Mar 1978,46.75
Apr 1978,2.03
May 1978,24.84
Jun 1978,16.61
Jul 1978,37.28
Aug 1978,0.44
Sep 1978,27.00
Oct 1978,32.94
Nov 1978,74.13
Dec 1978,82.16
Jan 1979,60.38
Feb 1979,53.03
Mar 1979,20.53
Apr 1979,45.81
May 1979,39.44
Jun 1979,0.00
Jul 1979,11.38
Aug 1979,12.59
Sep 1979,39.00
Oct 1979,26.50
Nov 1979,24.80
Dec 1979,83.09
